_id,Clave,Producto,_idCategoria,_idMarca,Precio1,Precio2,No_parte,Descripcion,Modelo,Anios,RefaccionNueva,RefaccionOferta,color,Estatus,Alto,Largo,Ancho,Peso
17,10455,Filtro Aire Atos,1,6,44.99,0,28113-05701,Filtro Aire Atos Marca Nikko,70,37,0,0,#aa0009,1,4,28,18,0.2
18,4032,Filtro aire Atos,1,6,54.98,0,28113-02510,,70,37,0,0,#aa0009,1,0,0,0,0
19,4449,Goma Pedal Clutch y Freno Atos,7,6,14,0,552 402,,70,36,0,0,#aa0009,1,7,5,1,0.05
20,4663,Horquilla Caja Velocidades Atos 1a 2a,2,6,169,0,4384002004,,70,36,0,0,#aa0009,1,0,0,0,0
21,6507,Polea Bomba Agua Atos,2,6,141.9,0,25221-02500k,,70,37,0,0,#aa0009,1,7,7,3.5,0.15
22,6514,Polea Cigueñal Atos,2,6,141.99,0,23124-02511,,70,37,0,0,#aa0009,1,0,0,0,0
23,6529,Polea Direccion Hidraulica Atos,2,6,53.89,0,25226-02500k,,70,37,0,0,#aa0009,1,0,0,0,0
24,10593,Polea Tensora Atos,2,6,139,0,24410-02550,,70,37,0,0,#aa0009,1,0,0,0,0
25,4088,Balatas Beetle Traseras,7,2,145,0,8656z-d1456,Balatas Beetle Traseras Marca FP,45,39,0,0,#aa0009,1,0,0,0,0
26,8171,Filtro Aire Beetle,1,2,87,0,1f0-129-620,Filtro De Aire Para Beetle Cilindro,45,39,0,0,#aa0009,1,22,14,22,0.25
27,8171,Filtro Aire Jetta A5,1,2,87,0,1f0-129-620,,56,18,0,0,#aa0009,1,22,14,22,0.25
28,4141,Filtro Gasolina Beetle,1,2,95,0,0 986 mf2 318,Filtro Gasolina para Beetle Marca Bosch,45,39,0,0,#aa0009,1,0,0,0,0
29,10618,Filtro Gasolina Beetle,1,2,42,0,AGNV3110,Filtro Gasolina Para Beetla Marca Diforza,45,39,0,0,#aa0009,1,0,0,0,0
30,1576,Filtro Gasolina Audi A3 Original,1,4,105.01,0,FG-029,Filtro Gasolina Audi A3 Original de Agencia,11,10,0,0,#aa0009,1,8,8,18,0.25
31,1576,Filtro Gasolina Beetle Original,1,2,105.01,0,FG-029,Filtro Gasolina Beetle Original,45,39,0,0,#aa0009,1,8,8,18,0.25
32,562,Balatas Bora Delanteras,7,2,215.23,0,8212-d1107eg,Balatas Bora Delanteras Marca FP Con Sensor,4,5,0,0,#aa0009,1,17,12,9.5,1.75
33,565,Balatas Bora Traseras,7,2,145,0,8213-d1108eg,Blatas Bora traseras FP,4,5,0,0,#aa0009,1,0,0,0,0
34,1981,Calavera Bora Exterior Izquierda,4,2,589.99,0,FCNV0402,Calavera Bora Exterior Izquierda Marca Diforza,4,5,0,0,#aa0009,1,32.5,33.5,19,1.3
35,3835,Faro Bora Izq,4,2,1309.99,0,FFNV0402,,4,5,0,0,#aa0009,1,54,30,23,2.9
36,8171,Filtro Aire Bora Cilindrico,1,2,87,0,1F0-129-620,Filtro Aire Bora GLI Cilindrico,4,5,0,0,#aa0009,1,22,14,22,0.25
37,11924,Filtro Aire Bora,1,2,53,0,07K 129 620,Filtro Aire Bora NIKKO,4,5,0,0,#aa0009,1,0,0,0,0
38,4158,Filtro Gasolina Bora,1,2,214.71,0,1K0 201 051 C,Filtro gas bora  06- GTI turbo regulador inegrado 2.5L,4,5,0,0,#aa0009,1,18,8.5,18,0.15
39,6938,Polea Tensora Bora,2,2,307.99,0,07K 145 172C,Polea tensora alternador Bora con-brazo Bruck,4,5,0,0,#aa0009,1,0,0,0,0
40,8995,Polea Tensora  Alternador Bora,2,2,139.86,0,06F 903 315-Pole,Polea tensora Aternador Bora GLI Passat Bruck,4,5,0,0,#aa0009,1,0,0,0,0
41,10608,Radiador Agua Bora Con Aire,2,2,1095,0,CRNV0400,Radiador Agua Bora 2.5 Con aire IZAKA,4,5,0,0,#aa0009,1,0,0,0,0
